"Adolescent birth rate (births per 1,000 women ages 15-19)"
"137"," Congo","133.8","","130.5","","133.1","","136.4","","125.5","","123.9","","122.3","","120.7","","119.1","","117.5","","111.8","","111.8","a"
"176"," Congo (Democratic Republic of the)","132.8","","127.1","","124.1","","126.3","","130.1","","129.4","","128.7","","128.1","","127.4","","126.8","","124.2","","124.2","a"
"63"," Costa Rica","95.3","","91.8","","83.2","","69.8","","61.8","","60.7","","59.6","","58.5","","57.4","","56.3","","53.5","","53.5","a"
"46"," Croatia","34.9","","20.7","","19.1","","15.2","","12.9","","12.3","","11.7","","11.2","","10.6","","10.0","","8.9","","8.9","a"
"73"," Cuba","85.7","","69.2","","69.4","","49.1","","49.0","","48.7","","48.3","","47.9","","47.5","","47.1","","43.6","","43.6","a"
"32"," Cyprus","34.6","","24.3","","13.1","","7.2","","5.8","","5.6","","5.4","","5.2","","5.1","","4.9","","4.6","","4.6","a"
"27"," Czechia","50.5","","41.1","","16.6","","11.4","","11.1","","11.0","","10.9","","10.7","","10.6","","10.5","","10.0","","10.0","a"
"170"," Côte d'Ivoire","168.0","","148.1","","138.3","","137.4","","137.3","","136.7","","136.1","","135.6","","135.0","","134.4","","132.7","","132.7","a"
"11"," Denmark","9.2","","8.9","","8.0","","6.6","","5.2","","5.0","","4.8","","4.6","","4.5","","4.3","","4.1","","4.1","a"
"172"," Djibouti","50.0","","45.5","","36.4","","30.9","","23.5","","22.9","","22.2","","21.6","","20.9","","20.3","","18.8","","18.8","a"
"94"," Dominican Republic","110.2","","114.3","","111.0","","109.6","","104.7","","103.3","","101.9","","100.5","","99.2","","97.8","","95.0","","95.0","a"
"86"," Ecuador","88.7","","85.5","","84.3","","82.5","","80.2","","79.3","","78.3","","77.4","","76.5","","75.6","","73.9","","73.9","a"
"115"," Egypt","86.1","","79.9","","57.2","","52.5","","51.7","","51.8","","51.9","","52.1","","52.2","","52.3","","50.0","","50.0","a"
"121"," El Salvador","108.2","","101.2","","95.2","","88.7","","78.0","","76.7","","75.4","","74.1","","72.8","","71.5","","69.5","","69.5","a"
"141"," Equatorial Guinea","187.6","","196.3","","189.4","","178.8","","170.7","","168.8","","166.9","","165.0","","163.1","","161.2","","155.6","","155.6","a"
"179"," Eritrea","113.4","","108.2","","97.9","","82.4","","68.5","","66.1","","63.7","","61.2","","58.8","","56.3","","51.6","","51.6","a"
"30"," Estonia","44.5","","47.1","","30.4","","23.5","","19.3","","18.4","","17.4","","16.4","","15.4","","14.4","","12.6","","12.6","a"
"144"," Eswatini (Kingdom of)","138.7","","122.6","","108.4","","102.2","","86.4","","85.3","","84.2","","83.1","","82.0","","80.9","","77.0","","77.0","a"
"173"," Ethiopia","119.3","","117.7","","117.5","","105.2","","79.0","","76.9","","74.8","","72.7","","70.6","","68.5","","62.5","","62.5","a"
"92"," Fiji","63.3","","62.9","","45.5","","41.2","","44.1","","43.9","","43.8","","43.7","","43.6","","43.4","","43.9","","43.9","a"
"15"," Finland","12.7","","11.4","","9.5","","10.6","","8.3","","8.1","","7.8","","7.6","","7.3","","7.1","","6.8","","6.8","a"
